Period;Mothers_Age;Count
2005;Under 15;36
2005;15–19;4098
2005;20–24;9708
2005;25–29;13797
2005;30–34;17976
2005;35–39;10029
2005;40–44;2001
2005;45 and over;93
2005;Total;57747
2006;Under 15;36
2006;15–19;4338
2006;20–24;10308
2006;25–29;14082
2006;30–34;17868
2006;35–39;10401
2006;40–44;2052
2006;45 and over;108
2006;Total;59193
2007;Under 15;51
2007;15–19;4902
2007;20–24;11094
2007;25–29;15516
2007;30–34;18498
2007;35–39;11601
2007;40–44;2268
2007;45 and over;111
2007;Total;64044
2008;Under 15;39
2008;15–19;5184
2008;20–24;11493
2008;25–29;15612
2008;30–34;17823
2008;35–39;11808
2008;40–44;2262
2008;45 and over;120
2008;Total;64341
2009;Under 15;30
2009;15–19;4641
2009;20–24;11502
2009;25–29;15297
2009;30–34;17304
2009;35–39;11310
2009;40–44;2355
2009;45 and over;102
2009;Total;62541
2010;Under 15;24
2010;15–19;4527
2010;20–24;11805
2010;25–29;15885
2010;30–34;17712
2010;35–39;11319
2010;40–44;2490
2010;45 and over;132
2010;Total;63897
2011;Under 15;27
2011;15–19;3981
2011;20–24;11394
2011;25–29;15402
2011;30–34;17202
2011;35–39;10854
2011;40–44;2415
2011;45 and over;129
2011;Total;61401
2012;Under 15;18
2012;15–19;3768
2012;20–24;11301
2012;25–29;15615
2012;30–34;17472
2012;35–39;10371
2012;40–44;2523
2012;45 and over;111
2012;Total;61176
2013;Under 15;21
2013;15–19;3282
2013;20–24;10695
2013;25–29;15258
2013;30–34;16758
2013;35–39;10128
2013;40–44;2439
2013;45 and over;144
2013;Total;58716
2014;Under 15;27
2014;15–19;2895
2014;20–24;9915
2014;25–29;15210
2014;30–34;17199
2014;35–39;9534
2014;40–44;2343
2014;45 and over;117
2014;Total;57243
2015;Under 15;24
2015;15–19;2841
2015;20–24;10458
2015;25–29;16350
2015;30–34;18597
2015;35–39;10230
2015;40–44;2382
2015;45 and over;159
2015;Total;61038
2016;Under 15;15
2016;15–19;2466
2016;20–24;9636
2016;25–29;16362
2016;30–34;18531
2016;35–39;10011
2016;40–44;2283
2016;45 and over;126
2016;Total;59427
2017;Under 15;18
2017;15–19;2298
2017;20–24;9387
2017;25–29;16737
2017;30–34;18795
2017;35–39;9933
2017;40–44;2292
2017;45 and over;150
2017;Total;59610
2018;Under 15;15
2018;15–19;2061
2018;20–24;8688
2018;25–29;16227
2018;30–34;18708
2018;35–39;10023
2018;40–44;2145
2018;45 and over;153
2018;Total;58020
2019;Under 15;21
2019;15–19;1974
2019;20–24;8511
2019;25–29;16428
2019;30–34;19740
2019;35–39;10548
2019;40–44;2268
2019;45 and over;153
2019;Total;59637
2020;Under 15;12
2020;15–19;1881
2020;20–24;7977
2020;25–29;15705
2020;30–34;19515
2020;35–39;10233
2020;40–44;2091
2020;45 and over;159
2020;Total;57576
2021;Under 15;15
2021;15–19;1581
2021;20–24;7548
2021;25–29;15687
2021;30–34;20829
2021;35–39;10773
2021;40–44;2133
2021;45 and over;102
2021;Total;58659
